ANN,Total,Error/TO,Incl,%,%,%,Congruent,Incongruent,SCE,Num Dist,Num Dist,Phys Dist,Phys Dist,Congruent,Incongruent,Congruent,Incongruent,SCE,SCE,Congruent,Incongruent,Congruent,Incongruent,SCE,SCE,Congruent,Congruent,Congruent,Congruent,Incongruent,Incongruent,Incongruent,Incongruent,Congruent,Congruent,Congruent,Congruent,Incongruent,Incongruent,Incongruent,Incongruent,,,Response,Response,Response,Num,Num,Num,Num,Num,Num,Num,Num
,# Trials,# Trials,# Trials,Hits,Hits,Hits,,,I-C,Far,Close,Far,Close,Num Dist,Num Dist,Num Dist,Num Dist,Num Dist,Num Dist,PhysDist,PhysDist,Phys Dist,PhysDist,PhysDist,Phys Dist,Num Far,Num Far,Num Close,Num Close,Num Far,Num Far,Num Close,Num Close,Num Far,Num Far,Num Close,Num Close,Num Far,Num Far,Num Close,Num Close,,,Conflict,Conflict,Conflict,Dist,Dist,Dist,Dist,Dist,Dist,Dist,Dist
,,,,C,I,C-I,,,,,,,,Far,Far,Close,Close,Far,Close,Far,Far,Close,Close,Far,Close,Phys Far,Phys Close,Phys Far,Phys Close,Phys Far,Phys Close,Phys Far,Phys Close,Phys Far,Phys Close,Phys Far,Phys Close,Phys Far,Phys Close,Phys Far,Phys Close,,,Cong,Incong,I-C,1,2,3,4,5,6,7,8
,,,,,,,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,|I-C|,|I-C|,Mean,Mean,Mean,Mean,|I-C|,|I-C|,#Trials,#Trials,#Trials,#Trials,#Trials,#Trials,#Trials,#Trials,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,,,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
18,144,4,140,100,94.444444,5.555556,7.611111,11.955882,4.344771,8.416667,11.102941,9.855072,9.591549,6.972222,9.861111,8.25,14.3125,2.888889,6.0625,7.222222,12.727273,8,11.228571,5.505051,3.228571,18,18,18,18,18,18,15,17,6.666667,7.277778,7.777778,8.722222,10.555556,9.166667,15.333333,13.411765,,,0.172911,0.384488,0.211576,12.318182,NaN,NaN,NaN,NaN,8.875,8.5625,8.125
19,144,9,135,100,87.5,12.5,7.75,11.492063,3.742063,8.388889,10.761905,9.424242,9.565217,7,9.777778,8.5,13.777778,2.777778,5.277778,7.305556,11.966667,8.194444,11.060606,4.661111,2.866162,18,18,18,18,18,18,12,15,6.666667,7.333333,7.944444,9.055556,10.444444,9.111111,14.25,13.4,,,0.178314,0.374496,0.196182,11.948718,NaN,NaN,NaN,NaN,8.833333,8.520833,8.125
20,144,7,137,100,90.277778,9.722222,7.611111,11.4,3.788889,8.291667,10.646154,9.447761,9.371429,6.972222,9.611111,8.25,13.62069,2.638889,5.37069,7.194444,12.064516,8.027778,10.794118,4.870072,2.76634,18,18,18,18,18,18,13,16,6.666667,7.277778,7.722222,8.777778,10.388889,8.833333,14.384615,13,,,0.173782,0.370394,0.196613,11.707317,NaN,NaN,NaN,NaN,8.833333,8.416667,8.041667
21,144,8,136,100,88.888889,11.111111,7.680556,11.625,3.944444,8.361111,10.859375,9.378788,9.685714,7,9.722222,8.361111,14.071429,2.722222,5.710317,7.25,11.933333,8.111111,11.352941,4.683333,3.24183,18,18,18,18,18,18,12,16,6.722222,7.277778,7.777778,8.944444,10.444444,9,14.166667,14,,,0.175452,0.375148,0.199695,12,NaN,NaN,NaN,NaN,8.958333,8.458333,8.166667
22,144,9,135,100,87.5,12.5,7.638889,11.698413,4.059524,8.361111,10.873016,9.469697,9.594203,6.944444,9.777778,8.333333,14.259259,2.833333,5.925926,7.222222,12.166667,8.055556,11.272727,4.944444,3.217172,18,18,18,18,18,18,12,15,6.611111,7.277778,7.833333,8.833333,10.444444,9.111111,14.75,13.866667,,,0.175992,0.380171,0.204179,12.153846,NaN,NaN,NaN,NaN,8.791667,8.479167,8.125
23,144,2,142,100,97.222222,2.777778,7.569444,11.871429,4.301984,8.388889,11.028571,9.914286,9.472222,7.027778,9.75,8.111111,14.117647,2.722222,6.006536,7.166667,12.823529,7.972222,10.972222,5.656863,3,18,18,18,18,18,18,16,18,6.722222,7.333333,7.611111,8.611111,10.5,9,15.4375,12.944444,,,0.171989,0.380564,0.208575,12.065217,NaN,NaN,NaN,NaN,9.041667,8.5625,8.041667
24,144,9,135,100,87.5,12.5,7.722222,11.380952,3.65873,8.416667,10.587302,9.393939,9.463768,7.055556,9.777778,8.388889,13.518519,2.722222,5.12963,7.305556,11.9,8.138889,10.909091,4.594444,2.770202,18,18,18,18,18,18,12,15,6.777778,7.333333,7.833333,8.944444,10.388889,9.166667,14.166667,13,,,0.178805,0.373277,0.194472,11.564103,NaN,NaN,NaN,NaN,9,8.541667,8.166667
25,144,5,139,100,93.055556,6.944444,7.652778,11.597015,3.944237,8.319444,10.880597,9.797101,9.314286,7,9.638889,8.305556,13.870968,2.638889,5.565412,7.25,12.575758,8.055556,10.647059,5.325758,2.591503,18,18,18,18,18,18,15,16,6.666667,7.333333,7.833333,8.777778,10.388889,8.888889,15.2,12.625,,,0.174073,0.376394,0.202321,12.023256,NaN,NaN,NaN,NaN,8.833333,8.416667,8.125
26,144,9,135,100,87.5,12.5,7.763889,11.47619,3.712302,8.333333,10.825397,9.409091,9.57971,6.972222,9.694444,8.555556,13.851852,2.722222,5.296296,7.277778,11.966667,8.25,11.030303,4.688889,2.780303,18,18,18,18,18,18,12,15,6.555556,7.388889,8,9.111111,10.388889,9,14.333333,13.466667,,,0.176454,0.371427,0.194974,12.102564,NaN,NaN,NaN,NaN,8.75,8.4375,8.125
27,144,9,135,100,87.5,12.5,7.597222,11.047619,3.450397,8.291667,10.253968,9.151515,9.26087,6.916667,9.666667,8.277778,12.888889,2.75,4.611111,7.111111,11.6,8.083333,10.545455,4.488889,2.462121,18,18,18,18,18,18,12,15,6.555556,7.277778,7.666667,8.888889,10.388889,8.944444,13.416667,12.466667,,,0.174002,0.367473,0.193471,11.025641,NaN,NaN,NaN,NaN,9,8.4375,8
28,144,8,136,100,88.888889,11.111111,7.625,11.375,3.75,8.361111,10.546875,9.272727,9.5,7,9.722222,8.25,13.5,2.722222,5.25,7.222222,11.733333,8.027778,11.058824,4.511111,3.031046,18,18,18,18,18,18,12,16,6.722222,7.277778,7.722222,8.777778,10.388889,9.055556,13.75,13.3125,,,0.174425,0.374201,0.199776,11.475,NaN,NaN,NaN,NaN,9,8.479167,8.125
29,144,8,136,100,88.888889,11.111111,7.763889,11.703125,3.939236,8.430556,10.953125,9.484848,9.742857,7.055556,9.805556,8.472222,14.142857,2.75,5.670635,7.333333,12.066667,8.194444,11.382353,4.733333,3.187908,18,18,18,18,18,18,12,16,6.722222,7.388889,7.944444,9,10.555556,9.055556,14.333333,14,,,0.178274,0.376822,0.198548,12.2,NaN,NaN,NaN,NaN,8.875,8.541667,8.208333
30,144,9,135,100,87.5,12.5,7.75,11.666667,3.916667,8.388889,10.936508,9.454545,9.695652,6.972222,9.805556,8.527778,14.148148,2.833333,5.62037,7.305556,12.033333,8.194444,11.333333,4.727778,3.138889,18,18,18,18,18,18,12,15,6.666667,7.277778,7.944444,9.111111,10.5,9.111111,14.333333,14,,,0.177009,0.376252,0.199243,12.282051,NaN,NaN,NaN,NaN,8.75,8.5,8.166667
TOTALS:,4320,227,4093,100,89.490741,10.509259,7.676389,11.576306,3.899917,8.383796,10.785825,9.493506,9.541846,7.002778,9.764815,8.35,13.869871,2.762037,5.519871,7.247222,12.124729,8.105556,11.076162,4.877507,2.970607,540,540,540,540,540,540,382,471,6.683333,7.322222,7.811111,8.888889,10.47037,9.059259,14.463351,13.388535,,,0.175724,0.37634,0.200616,11.888706,NaN,NaN,NaN,NaN,8.927778,8.511111,8.129167
