ANN,trial,N1,N2,P1,P2,Succ.,,Ndist,Ndist,Pdist,Pdist,rt,a1,a2,x_acc,,Size
2,24,4,3,0,0,1,,1,S,0,S,17,0.786397,0.000996,0.000783,,0
2,25,1,2,0,0,1,,1,S,0,S,17,0.018097,0.764952,0.013843,,S
2,26,8,4,0,0,1,,4,S,0,S,16,0.769763,0.014704,0.011319,,0
2,27,4,7,0,0,1,,3,S,0,S,17,0.006388,0.778174,0.004971,,0
2,28,7,6,0,0,1,,1,S,0,S,24,0.77803,0.013846,0.010772,,0
2,29,6,5,0,0,1,,1,S,0,S,23,0.766654,0.022844,0.017513,,0
2,30,3,6,0,0,1,,3,S,0,S,21,0.013097,0.779544,0.01021,,0
2,31,5,7,0,0,1,,2,S,0,S,18,0,0.789686,0,,0
2,32,2,6,0,0,1,,4,S,0,S,15,0.008859,0.773158,0.006849,,0
2,33,7,2,0,0,1,,5,S,0,S,17,0.782839,0.00453,0.003546,,0
2,34,1,4,0,0,1,,3,S,0,S,16,0,0.79628,0,,0
2,35,9,6,0,0,1,,3,S,0,S,18,0.77388,0.014063,0.010883,,0
2,36,2,8,0,0,1,,6,S,0,S,14,0.00947,0.767443,0.007267,,0
2,37,8,2,0,0,1,,6,S,0,S,15,0.781733,0.002347,0.001835,,0
2,38,6,7,0,0,1,,1,S,0,S,19,0.005728,0.782971,0.004485,,0
2,39,7,5,0,0,1,,2,S,0,S,21,0.761557,0.024731,0.018834,,0
2,40,2,4,0,0,1,,2,S,0,S,16,0,0.796105,0,,0
2,41,3,4,0,0,1,,1,S,0,S,31,0.011128,0.784271,0.008727,,0
2,42,9,2,0,0,1,,7,L,0,S,15,0.755988,0.021427,0.016199,,0
2,43,3,2,0,0,1,,1,S,0,S,18,0.754539,0.030096,0.022708,,0
2,44,1,8,0,0,1,,7,L,0,S,14,0.008417,0.766534,0.006452,,0
2,45,6,2,0,0,1,,4,S,0,S,17,0.767316,0.018052,0.013852,,0
2,46,7,3,0,0,1,,4,S,0,S,15,0.754743,0.020442,0.015429,,0
2,47,4,9,0,0,1,,5,S,0,S,14,0,0.78413,0,,0
2,48,2,5,0,0,1,,3,S,0,S,15,0.02039,0.757014,0.015435,,0
2,49,3,9,0,0,1,,6,S,0,S,14,0.000693,0.77718,0.000538,,0
2,50,4,5,0,0,1,,1,S,0,S,21,0.014454,0.77526,0.011205,,0
2,51,2,1,0,0,1,,1,S,0,S,21,0.779611,0.012859,0.010025,,S
2,52,8,1,0,0,1,,7,L,0,S,13,0.751384,0.017255,0.012965,,0
2,53,4,2,0,0,1,,2,S,0,S,19,0.751988,0.032489,0.024432,,0
2,54,4,1,0,0,1,,3,S,0,S,15,0.757331,0.02045,0.015488,,0
2,55,5,2,0,0,1,,3,S,0,S,18,0.759362,0.02473,0.018779,,0
2,56,1,9,0,0,1,,8,L,0,S,13,0,0.789802,0,,0
2,57,5,8,0,0,1,,3,S,0,S,17,0.024084,0.758141,0.018259,,0
