ANN,trial,N1,N2,P1,P2,Succ.,,Ndist,Ndist,Pdist,Pdist,rt,a1,a2,x_acc,,Size
1,72,7,1,0,0,1,,6,S,0,S,14,0.797496,0,0,,0
2,1,6,3,0,0,1,,3,S,0,S,15,0.754273,0.034509,0.026029,,0
2,2,8,9,0,0,1,,1,S,0,S,17,0.034261,0.76065,0.026061,,L
2,3,9,2,0,0,1,,7,L,0,S,15,0.789713,0.010025,0.007917,,0
2,4,8,2,0,0,1,,6,S,0,S,16,0.791583,0.008721,0.006903,,0
2,5,7,5,0,0,1,,2,S,0,S,15,0.775419,0.02071,0.016059,,0
2,6,7,9,0,0,0,,2,S,0,S,24,0.779983,0.02538,0.019796,,0
2,7,5,6,0,0,1,,1,S,0,S,17,0.029698,0.769081,0.02284,,0
2,8,4,1,0,0,1,,3,S,0,S,15,0.78857,0.009427,0.007434,,0
2,9,2,5,0,0,1,,3,S,0,S,15,0.020002,0.778071,0.015563,,0
2,10,6,2,0,0,1,,4,S,0,S,18,0.792855,0.010386,0.008235,,0
2,11,3,8,0,0,1,,5,S,0,S,15,0.025291,0.771267,0.019506,,0
2,12,4,8,0,0,1,,4,S,0,S,16,0.024259,0.773732,0.01877,,0
2,13,9,4,0,0,1,,5,S,0,S,14,0.776089,0.017175,0.01333,,0
2,14,3,4,0,0,0,,1,S,0,S,18,0.79156,0.014653,0.011599,,0
2,15,4,9,0,0,1,,5,S,0,S,15,0.025999,0.764144,0.019867,,0
2,16,2,7,0,0,1,,5,S,0,S,14,0.018771,0.770497,0.014463,,0
2,17,3,6,0,0,1,,3,S,0,S,16,0.034594,0.759524,0.026275,,0
2,18,4,5,0,0,1,,1,S,0,S,25,0.014705,0.795384,0.011696,,0
2,19,5,4,0,0,1,,1,S,0,S,17,0.791724,0.013222,0.010468,,0
2,20,6,1,0,0,1,,5,S,0,S,15,0.800746,0,0,,0
2,21,1,2,0,0,1,,1,S,0,S,15,0.036519,0.754773,0.027564,,S
2,22,6,5,0,0,1,,1,S,0,S,25,0.752945,0.048169,0.036269,,0
2,23,3,5,0,0,1,,2,S,0,S,19,0.027359,0.778735,0.021306,,0
2,24,7,6,0,0,1,,1,S,0,S,17,0.791641,0.010478,0.008294,,0
2,25,8,6,0,0,1,,2,S,0,S,27,0.777994,0.026594,0.02069,,0
2,26,2,8,0,0,1,,6,S,0,S,13,0.031799,0.75113,0.023885,,0
2,27,6,8,0,0,1,,2,S,0,S,17,0.007482,0.797025,0.005963,,0
2,28,1,5,0,0,1,,4,S,0,S,14,0.024798,0.766651,0.019011,,0
2,29,3,1,0,0,1,,2,S,0,S,15,0.75814,0.035204,0.026689,,0
2,30,9,8,0,0,1,,1,S,0,S,33,0.760933,0.047141,0.035871,,L
2,31,3,9,0,0,1,,6,S,0,S,15,0,0.801402,0,,0
2,32,5,3,0,0,1,,2,S,0,S,16,0.778605,0.02149,0.016732,,0
2,33,5,8,0,0,1,,3,S,0,S,16,0.00958,0.795418,0.00762,,0
2,34,1,8,0,0,1,,7,L,0,S,13,0.012388,0.776468,0.009619,,0
2,35,8,1,0,0,1,,7,L,0,S,14,0.792619,0.002949,0.002338,,0
2,36,1,9,0,0,1,,8,L,0,S,13,0,0.789887,0,,0
2,37,8,4,0,0,1,,4,S,0,S,15,0.790235,0.007422,0.005865,,0
2,38,1,7,0,0,1,,6,S,0,S,14,0,0.800208,0,,0
2,39,7,8,0,0,0,,1,S,0,S,18,0.752743,0.045969,0.034603,,0
2,40,7,3,0,0,1,,4,S,0,S,13,0.763496,0.019919,0.015208,,0
2,41,9,7,0,0,1,,2,S,0,S,19,0.761556,0.038467,0.029294,,0
2,42,4,3,0,0,1,,1,S,0,S,16,0.787073,0.01239,0.009752,,0
2,43,3,7,0,0,1,,4,S,0,S,16,0.032848,0.76061,0.024984,,0
2,44,8,7,0,0,1,,1,S,0,S,29,0.756453,0.042956,0.032494,,0
2,45,7,2,0,0,1,,5,S,0,S,14,0.773976,0.016499,0.01277,,0
2,46,5,9,0,0,1,,4,S,0,S,15,0.01474,0.781704,0.011522,,0
2,47,2,1,0,0,1,,1,S,0,S,21,0.793512,0.017619,0.013981,,S
2,48,1,4,0,0,1,,3,S,0,S,17,0.013768,0.790979,0.01089,,0
2,49,2,3,0,0,1,,1,S,0,S,22,0.019535,0.790356,0.01544,,0
2,50,8,5,0,0,1,,3,S,0,S,18,0.784508,0.019667,0.015429,,0
2,51,9,5,0,0,1,,4,S,0,S,16,0.769358,0.030539,0.023495,,0
2,52,5,1,0,0,1,,4,S,0,S,15,0.783706,0.015559,0.012194,,0
2,53,6,9,0,0,1,,3,S,0,S,16,0.004184,0.795044,0.003326,,0
2,54,9,1,0,0,1,,8,L,0,S,13,0.767089,0.019927,0.015286,,0
2,55,7,4,0,0,1,,3,S,0,S,13,0.750349,0.029788,0.022351,,0
2,56,2,6,0,0,1,,4,S,0,S,14,0.019386,0.770751,0.014942,,0
2,57,7,1,0,0,1,,6,S,0,S,13,0.788045,0.002184,0.001721,,0
2,58,2,9,0,0,1,,7,L,0,S,13,0.016548,0.767924,0.012707,,0
2,59,1,6,0,0,1,,5,S,0,S,14,0,0.800691,0,,0
2,60,3,2,0,0,1,,1,S,0,S,22,0.791867,0.017291,0.013692,,0
2,61,2,4,0,0,1,,2,S,0,S,19,0.031929,0.77202,0.02465,,0
2,62,6,7,0,0,1,,1,S,0,S,19,0.010634,0.791522,0.008417,,0
2,63,8,3,0,0,1,,5,S,0,S,14,0.758144,0.028511,0.021616,,0
2,64,5,7,0,0,1,,2,S,0,S,17,0.027282,0.770985,0.021034,,0
2,65,6,4,0,0,1,,2,S,0,S,16,0.775975,0.020464,0.015879,,0
2,66,9,6,0,0,1,,3,S,0,S,19,0.773398,0.030017,0.023215,,0
2,67,5,2,0,0,1,,3,S,0,S,19,0.774195,0.029652,0.022956,,0
2,68,4,6,0,0,1,,2,S,0,S,18,0.016563,0.784512,0.012994,,0
2,69,4,2,0,0,1,,2,S,0,S,18,0.755116,0.040821,0.030824,,0
2,70,4,7,0,0,1,,3,S,0,S,18,0.013731,0.786917,0.010805,,0
2,71,9,3,0,0,1,,6,S,0,S,14,0.791872,0.005042,0.003993,,0
2,72,1,3,0,0,1,,2,S,0,S,18,0.014044,0.792816,0.011134,,0
3,1,2,4,0,0,1,,2,S,0,S,16,0.034273,0.759826,0.026041,,0
3,2,4,6,0,0,1,,2,S,0,S,15,0.034622,0.757927,0.026241,,0
3,3,5,7,0,0,1,,2,S,0,S,17,0.03321,0.759563,0.025225,,0
3,4,5,6,0,0,1,,1,S,0,S,24,0.044116,0.757965,0.033438,,0
3,5,4,7,0,0,1,,3,S,0,S,14,0.023366,0.763089,0.01783,,0
3,6,4,2,0,0,1,,2,S,0,S,21,0.77666,0.029513,0.022922,,0
3,7,7,8,0,0,0,,1,S,0,S,19,0.761385,0.038683,0.029453,,0
3,8,9,1,0,0,1,,8,L,0,S,12,0.760639,0.014685,0.01117,,0
3,9,7,6,0,0,1,,1,S,0,S,18,0.760844,0.039369,0.029954,,0
3,10,6,1,0,0,1,,5,S,0,S,14,0.793546,0.002488,0.001974,,0
3,11,7,3,0,0,1,,4,S,0,S,15,0.798761,0.001601,0.001279,,0
3,12,3,7,0,0,1,,4,S,0,S,14,0.014313,0.775757,0.011103,,0
3,13,1,7,0,0,1,,6,S,0,S,14,0.003422,0.789373,0.002701,,0
3,14,5,2,0,0,1,,3,S,0,S,15,0.768814,0.024045,0.018486,,0
3,15,8,3,0,0,1,,5,S,0,S,14,0.799793,0,0,,0
3,16,3,9,0,0,1,,6,S,0,S,13,0.025529,0.758002,0.019351,,0
3,17,2,1,0,0,1,,1,S,0,S,16,0.784369,0.013625,0.010687,,S
3,18,7,2,0,0,1,,5,S,0,S,14,0.775074,0.016906,0.013104,,0
3,19,9,4,0,0,1,,5,S,0,S,14,0.750889,0.03521,0.026439,,0
3,20,9,2,0,0,1,,7,L,0,S,13,0.779584,0.008544,0.006661,,0
3,21,2,6,0,0,1,,4,S,0,S,15,0.037425,0.752954,0.028179,,0
3,22,9,5,0,0,1,,4,S,0,S,15,0.752758,0.03799,0.028598,,0
3,23,6,8,0,0,1,,2,S,0,S,20,0.049,0.752022,0.036849,,0
3,24,6,9,0,0,1,,3,S,0,S,15,0.035791,0.757939,0.027127,,0
3,25,1,4,0,0,1,,3,S,0,S,15,0.029488,0.763769,0.022522,,0
3,26,7,9,0,0,1,,2,S,0,S,18,0.017375,0.787988,0.013691,,0
3,27,8,2,0,0,1,,6,S,0,S,13,0.766505,0.017458,0.013382,,0
3,28,4,8,0,0,1,,4,S,0,S,15,0.025221,0.768202,0.019375,,0
3,29,8,7,0,0,1,,1,S,0,S,18,0.764673,0.031498,0.024086,,0
3,30,6,3,0,0,1,,3,S,0,S,16,0.779378,0.02136,0.016647,,0
3,31,3,6,0,0,1,,3,S,0,S,15,0.021018,0.776272,0.016316,,0
3,32,8,4,0,0,1,,4,S,0,S,15,0.780776,0.014901,0.011634,,0
3,33,6,5,0,0,0,,1,S,0,S,20,0.017731,0.792201,0.014046,,0
3,34,8,6,0,0,1,,2,S,0,S,16,0.799767,0.003622,0.002897,,0
3,35,5,3,0,0,1,,2,S,0,S,16,0.777872,0.019163,0.014907,,0
3,36,1,8,0,0,1,,7,L,0,S,14,0.03412,0.751828,0.025653,,0
3,37,9,3,0,0,1,,6,S,0,S,13,0.760992,0.022037,0.01677,,0
3,38,3,5,0,0,1,,2,S,0,S,15,0.006781,0.793656,0.005382,,0
3,39,4,1,0,0,1,,3,S,0,S,16,0.784794,0.014346,0.011259,,0
3,40,2,3,0,0,1,,1,S,0,S,25,0.044105,0.757731,0.03342,,0
3,41,2,7,0,0,1,,5,S,0,S,14,0.025368,0.759166,0.019258,,0
3,42,7,4,0,0,1,,3,S,0,S,17,0.781521,0.020415,0.015955,,0
3,43,2,9,0,0,1,,7,L,0,S,14,0,0.797919,0,,0
3,44,9,7,0,0,1,,2,S,0,S,17,0.768703,0.027941,0.021478,,0
3,45,9,8,0,0,1,,1,S,0,S,15,0.759297,0.032148,0.02441,,L
3,46,7,5,0,0,1,,2,S,0,S,20,0.780077,0.025608,0.019976,,0
3,47,3,8,0,0,1,,5,S,0,S,15,0.012745,0.785093,0.010006,,0
3,48,3,1,0,0,1,,2,S,0,S,16,0.765753,0.029993,0.022968,,0
3,49,6,7,0,0,1,,1,S,0,S,17,0.020139,0.78068,0.015722,,0
3,50,5,1,0,0,1,,4,S,0,S,14,0.789821,0.002351,0.001857,,0
3,51,4,5,0,0,1,,1,S,0,S,15,0.018621,0.777648,0.014481,,0
3,52,4,9,0,0,1,,5,S,0,S,14,0,0.801282,0,,0
3,53,1,9,0,0,1,,8,L,0,S,13,0.016565,0.769246,0.012743,,0
3,54,5,4,0,0,1,,1,S,0,S,22,0.794887,0.012887,0.010244,,0
3,55,8,5,0,0,1,,3,S,0,S,16,0.772583,0.024364,0.018823,,0
3,56,6,2,0,0,1,,4,S,0,S,15,0.771238,0.025445,0.019624,,0
3,57,1,5,0,0,1,,4,S,0,S,14,0.028832,0.759672,0.021903,,0
3,58,5,9,0,0,1,,4,S,0,S,16,0.008206,0.792688,0.006505,,0
3,59,1,3,0,0,1,,2,S,0,S,19,0.021634,0.783771,0.016956,,0
3,60,4,3,0,0,0,,1,S,0,S,24,0.046723,0.755697,0.035308,,0
3,61,1,2,0,0,1,,1,S,0,S,23,0.03238,0.774592,0.025081,,S
3,62,3,2,0,0,1,,1,S,0,S,24,0.762036,0.043298,0.032995,,0
3,63,7,1,0,0,1,,6,S,0,S,13,0.77473,0.010501,0.008136,,0
3,64,9,6,0,0,1,,3,S,0,S,15,0.776295,0.020329,0.015781,,0
3,65,8,1,0,0,1,,7,L,0,S,12,0.750369,0.021331,0.016006,,0
3,66,5,8,0,0,1,,3,S,0,S,22,0.012315,0.794764,0.009788,,0
3,67,8,9,0,0,0,,1,S,0,S,23,0.766273,0.03743,0.028682,,L
3,68,6,4,0,0,1,,2,S,0,S,22,0.76184,0.043192,0.032905,,0
3,69,2,5,0,0,1,,3,S,0,S,15,0.021147,0.773086,0.016348,,0
3,70,3,4,0,0,1,,1,S,0,S,16,0.013303,0.788804,0.010494,,0
3,71,1,6,0,0,1,,5,S,0,S,15,0.00502,0.796123,0.003997,,0
3,72,2,8,0,0,1,,6,S,0,S,15,0.027859,0.763461,0.02127,,0
4,1,1,5,0,0,1,,4,S,0,S,14,0.028575,0.75844,0.021673,,0
4,2,8,1,0,0,1,,7,L,0,S,13,0.785449,0.002077,0.001632,,0
4,3,1,3,0,0,1,,2,S,0,S,17,0.021942,0.777654,0.017063,,0
4,4,5,9,0,0,1,,4,S,0,S,17,0.036938,0.762606,0.028169,,0
4,5,8,5,0,0,1,,3,S,0,S,18,0.757986,0.040515,0.03071,,0
4,6,6,8,0,0,1,,2,S,0,S,28,0.040324,0.765086,0.030852,,0
4,7,4,5,0,0,1,,1,S,0,S,16,0.041763,0.751959,0.031404,,0
4,8,2,7,0,0,1,,5,S,0,S,14,0,0.802248,0,,0
4,9,3,7,0,0,1,,4,S,0,S,15,0.016267,0.775477,0.012615,,0
4,10,6,7,0,0,1,,1,S,0,S,20,0.047063,0.75173,0.035379,,0
4,11,6,3,0,0,1,,3,S,0,S,16,0.794645,0.007968,0.006332,,0
4,12,9,6,0,0,1,,3,S,0,S,16,0.785287,0.015683,0.012316,,0
4,13,1,9,0,0,1,,8,L,0,S,14,0.008654,0.785483,0.006797,,0
4,14,2,8,0,0,1,,6,S,0,S,14,0.004655,0.789095,0.003673,,0
4,15,3,4,0,0,1,,1,S,0,S,17,0.032422,0.763051,0.02474,,0
4,16,7,1,0,0,1,,6,S,0,S,13,0.770588,0.015526,0.011964,,0
4,17,7,8,0,0,1,,1,S,0,S,26,0.020046,0.792121,0.015879,,0
4,18,8,2,0,0,1,,6,S,0,S,15,0.790507,0.007846,0.006203,,0
4,19,4,6,0,0,1,,2,S,0,S,20,0.036025,0.766506,0.027614,,0
4,20,4,1,0,0,1,,3,S,0,S,15,0.8008,0,0,,0
4,21,3,8,0,0,1,,5,S,0,S,15,0.036074,0.75123,0.0271,,0
4,22,7,3,0,0,1,,4,S,0,S,16,0.794991,0.009198,0.007313,,0
4,23,4,8,0,0,1,,4,S,0,S,16,0.020132,0.77885,0.01568,,0
4,24,3,1,0,0,1,,2,S,0,S,15,0.773343,0.017971,0.013898,,0
4,25,1,4,0,0,1,,3,S,0,S,15,0.020333,0.773893,0.015736,,0
4,26,9,7,0,0,1,,2,S,0,S,24,0.750216,0.050493,0.037881,,0
4,27,5,7,0,0,1,,2,S,0,S,17,0.023642,0.775983,0.018346,,0
4,28,9,8,0,0,1,,1,S,0,S,20,0.786122,0.021073,0.016566,,L
4,29,2,4,0,0,1,,2,S,0,S,15,0.002044,0.79756,0.00163,,0
4,30,9,4,0,0,1,,5,S,0,S,16,0.750799,0.043116,0.032372,,0
4,31,8,6,0,0,1,,2,S,0,S,16,0.782209,0.016905,0.013223,,0
4,32,4,3,0,0,1,,1,S,0,S,23,0.786054,0.021832,0.017161,,0
4,33,9,5,0,0,1,,4,S,0,S,18,0.761621,0.038944,0.029661,,0
4,34,9,2,0,0,1,,7,L,0,S,15,0.793267,0.006826,0.005415,,0
4,35,9,3,0,0,1,,6,S,0,S,15,0.785634,0.012371,0.009719,,0
4,36,2,9,0,0,1,,7,L,0,S,14,0,0.801633,0,,0
4,37,2,6,0,0,1,,4,S,0,S,15,0.019401,0.774849,0.015033,,0
4,38,7,9,0,0,1,,2,S,0,S,21,0.040178,0.767161,0.030823,,0
4,39,4,2,0,0,1,,2,S,0,S,21,0.758661,0.04333,0.032873,,0
4,40,7,4,0,0,1,,3,S,0,S,18,0.763817,0.038436,0.029358,,0
4,41,2,3,0,0,1,,1,S,0,S,16,0.025757,0.770233,0.019839,,0
4,42,5,4,0,0,1,,1,S,0,S,30,0.758423,0.04585,0.034774,,0
4,43,5,1,0,0,1,,4,S,0,S,14,0.790985,0.003265,0.002582,,0
4,44,3,2,0,0,0,,1,S,0,S,30,0.042017,0.759047,0.031893,,0
4,45,7,6,0,0,1,,1,S,0,S,17,0.772289,0.029577,0.022842,,0
4,46,6,5,0,0,1,,1,S,0,S,22,0.75746,0.045687,0.034606,,0
4,47,6,1,0,0,1,,5,S,0,S,13,0.769158,0.015284,0.011756,,0
4,48,1,8,0,0,1,,7,L,0,S,14,0.01798,0.77157,0.013873,,0
4,49,4,7,0,0,1,,3,S,0,S,15,0.032701,0.757536,0.024772,,0
4,50,8,9,0,0,0,,1,S,0,S,22,0.789915,0.01959,0.015475,,L
4,51,1,7,0,0,1,,6,S,0,S,14,0.005375,0.786676,0.004228,,0
4,52,3,9,0,0,1,,6,S,0,S,15,0.02175,0.77168,0.016784,,0
4,53,7,5,0,0,1,,2,S,0,S,23,0.777749,0.031582,0.024563,,0
4,54,3,5,0,0,1,,2,S,0,S,16,0.017407,0.779702,0.013572,,0
4,55,5,2,0,0,1,,3,S,0,S,17,0.770913,0.029073,0.022413,,0
4,56,2,1,0,0,1,,1,S,0,S,18,0.769419,0.029354,0.022586,,S
4,57,6,4,0,0,1,,2,S,0,S,18,0.767477,0.033889,0.026009,,0
4,58,8,3,0,0,1,,5,S,0,S,15,0.782828,0.013409,0.010497,,0
4,59,6,2,0,0,1,,4,S,0,S,15,0.754237,0.037083,0.027969,,0
4,60,8,7,0,0,1,,1,S,0,S,25,0.792027,0.015827,0.012535,,0
4,61,9,1,0,0,1,,8,L,0,S,13,0.787669,0.001403,0.001105,,0
4,62,1,6,0,0,1,,5,S,0,S,16,0.005008,0.796629,0.003989,,0
4,63,5,8,0,0,1,,3,S,0,S,18,0.031827,0.769226,0.024482,,0
4,64,5,6,0,0,0,,1,S,0,S,21,0.782125,0.024447,0.019121,,0
4,65,8,4,0,0,1,,4,S,0,S,17,0.796607,0.008028,0.006396,,0
4,66,6,9,0,0,1,,3,S,0,S,22,0.025763,0.783674,0.02019,,0
4,67,1,2,0,0,1,,1,S,0,S,17,0.032331,0.765064,0.024735,,S
4,68,5,3,0,0,1,,2,S,0,S,17,0.754322,0.041661,0.031426,,0
4,69,3,6,0,0,1,,3,S,0,S,18,0.042019,0.752463,0.031618,,0
4,70,4,9,0,0,1,,5,S,0,S,15,0.039708,0.751866,0.029855,,0
4,71,2,5,0,0,1,,3,S,0,S,14,0.013903,0.777737,0.010813,,0
4,72,7,2,0,0,1,,5,S,0,S,15,0.754533,0.038381,0.02896,,0
5,1,2,3,0,0,1,,1,S,0,S,14,0.028194,0.758856,0.021395,,0
5,2,7,5,0,0,1,,2,S,0,S,17,0.779013,0.021982,0.017125,,0
5,3,5,6,0,0,1,,1,S,0,S,29,0.027563,0.78011,0.021502,,0
5,4,2,8,0,0,1,,6,S,0,S,13,0,0.801714,0,,0
5,5,3,6,0,0,1,,3,S,0,S,23,0.017411,0.790409,0.013761,,0
5,6,4,1,0,0,1,,3,S,0,S,14,0.778789,0.009814,0.007643,,0
5,7,6,2,0,0,1,,4,S,0,S,16,0.78833,0.011629,0.009168,,0
5,8,7,8,0,0,1,,1,S,0,S,23,0.045715,0.753536,0.034448,,0
5,9,1,9,0,0,1,,8,L,0,S,13,0.026394,0.753149,0.019879,,0
5,10,3,1,0,0,1,,2,S,0,S,14,0.773373,0.014298,0.011057,,0
5,11,6,3,0,0,1,,3,S,0,S,17,0.793265,0.013388,0.010621,,0
5,12,1,4,0,0,1,,3,S,0,S,15,0.030425,0.760039,0.023125,,0
5,13,9,6,0,0,1,,3,S,0,S,15,0.798013,0.002588,0.002065,,0
5,14,2,7,0,0,1,,5,S,0,S,14,0.004278,0.788635,0.003373,,0
5,15,5,7,0,0,1,,2,S,0,S,20,0.027507,0.775547,0.021333,,0
5,16,4,8,0,0,1,,4,S,0,S,15,0.00799,0.786326,0.006283,,0
5,17,7,4,0,0,1,,3,S,0,S,16,0.773492,0.022832,0.01766,,0
5,18,9,4,0,0,1,,5,S,0,S,15,0.750916,0.037624,0.028253,,0
5,19,1,5,0,0,1,,4,S,0,S,15,0.006695,0.792132,0.005303,,0
5,20,4,9,0,0,1,,5,S,0,S,15,0.006322,0.788825,0.004987,,0
5,21,6,7,0,0,0,,1,S,0,S,19,0.7708,0.033089,0.025505,,0
5,22,3,4,0,0,1,,1,S,0,S,18,0.033843,0.762837,0.025817,,0
5,23,2,4,0,0,1,,2,S,0,S,14,0,0.79444,0,,0
5,24,3,9,0,0,1,,6,S,0,S,15,0,0.797514,0,,0
5,25,8,2,0,0,1,,6,S,0,S,14,0.755268,0.026991,0.020386,,0
5,26,4,5,0,0,1,,1,S,0,S,17,0.031804,0.764528,0.024315,,0
5,27,9,7,0,0,1,,2,S,0,S,15,0.765631,0.026858,0.020564,,0
5,28,6,1,0,0,1,,5,S,0,S,13,0.77805,0.008788,0.006838,,0
5,29,2,5,0,0,1,,3,S,0,S,13,0.021297,0.760588,0.016198,,0
5,30,5,4,0,0,0,,1,S,0,S,19,0.027747,0.773209,0.021454,,0
5,31,5,9,0,0,1,,4,S,0,S,15,0.007728,0.78845,0.006093,,0
5,32,8,1,0,0,1,,7,L,0,S,13,0.805058,0,0,,0
5,33,8,6,0,0,1,,2,S,0,S,15,0.77052,0.022318,0.017197,,0
5,34,9,5,0,0,1,,4,S,0,S,16,0.766193,0.030039,0.023016,,0
5,35,5,2,0,0,1,,3,S,0,S,19,0.774461,0.024879,0.019268,,0
5,36,2,9,0,0,1,,7,L,0,S,13,0,0.803047,0,,0
5,37,1,2,0,0,1,,1,S,0,S,19,0.01962,0.781635,0.015336,,S
